id,email,role,isVerified,createdAt,updatedAt,name,avatarUrl,locale,phone,passwordHash,authProvider,providerSub,publicId
41,seed.user41@example.com,USER,true,2026-04-27T19:16:12Z,2026-04-27T19:16:12Z,Con Petrello,,uk,3984470335,$2a$04$Klw8.Zzw4wQfxg6GAH3YV.CPXuFvMh.fLvx3pDjF.HPhFzIDaHua2,LOCAL,,
42,seed.user42@example.com,USER,true,2026-05-06T15:56:46Z,2026-05-06T15:56:46Z,Marcel Meiner,,uk,9432278171,$2a$04$5OLFivSuFeSHXVVNdDv0fuk0BPABGQcDDhzRBrkhXbHRiEmlfYr4.,LOCAL,,
43,seed.user43@example.com,USER,false,2026-06-05T16:55:45Z,2026-06-05T16:55:45Z,Guendolen Reimer,,uk,2244713763,$2a$04$RnVr9InyYQLo1b/BmGvRheYZpayPPFcEk2FbBURMdvcZPUno7JSVG,LOCAL,,
44,seed.user44@example.com,USER,true,2026-05-21T15:18:53Z,2026-05-21T15:18:53Z,Mallissa Sidebotham,,uk,,$2a$04$8rfEXBaz9.OxreV187tboumLf1xM6VhJGYFXQFaE4QsR1TjPC.Myq,LOCAL,,
45,seed.user45@example.com,USER,true,2026-06-15T08:29:04Z,2026-06-15T08:29:04Z,Brenn Poolton,,uk,,$2a$04$nPT//spgxr5ViZrIKzZbHOgs4rJ2mXNeKpr4/bomuwM0GnFW9dtre,LOCAL,,
46,seed.user46@example.com,USER,true,2026-04-24T05:00:37Z,2026-04-24T05:00:37Z,Loralyn Billingsley,,uk,5145434664,$2a$04$rkdqpC9gtVH3x6ZN9obfw.6MASHBtG4VvJXtA3Xyj0e.cuQx56V6m,LOCAL,,
47,seed.user47@example.com,USER,true,2026-04-20T07:18:13Z,2026-04-20T07:18:13Z,Elnore Eberst,,uk,,$2a$04$TAmidpsxIZ6mooNdDyCGeu/R4ZDfPc2.pku4t75EUe8xr6PcXQB7.,LOCAL,,
48,seed.user48@example.com,USER,false,2026-06-07T11:00:45Z,2026-06-07T11:00:45Z,Ian Jurs,,uk,2917178786,$2a$04$1sPeTY1CCfq2LwueChbEJ.yJG5d5Yuf5MoLumoCtZ8WKTP5pINqGy,LOCAL,,
49,seed.user49@example.com,USER,false,2026-05-31T11:23:23Z,2026-05-31T11:23:23Z,Wilmette L'Hommee,,uk,2111992190,$2a$04$Xn2GONNdowjax75TqE/GweFHBHkDmSM9kEJvHu8S6lPP3yQIwqiQ.,LOCAL,,
50,seed.user50@example.com,USER,true,2026-06-19T18:19:02Z,2026-06-19T18:19:02Z,Gordy Aspray,,uk,,$2a$04$NIfzTGOAufDBfCmhQykOEeN9rPKmMBVMpEjwklBtdCMs3uSmnvnhG,LOCAL,,
51,seed.user51@example.com,USER,true,2026-06-16T15:54:46Z,2026-06-16T15:54:46Z,Carling Riccardo,,uk,8177249881,$2a$04$4U/N5gK1AQvRHeFgvqwsx.gCiqSBSzXM/6DmkynvMSRx9J/2Y/RQ.,LOCAL,,
52,seed.user52@example.com,USER,true,2026-05-06T02:53:38Z,2026-05-06T02:53:38Z,Yetty Rolfo,,uk,3338418398,$2a$04$qEy9d.lzKRJRaWL96egXZedvK92h6GWdnJJhy4u5FLlABgehUs7Pm,LOCAL,,
53,seed.user53@example.com,USER,false,2026-06-17T13:31:30Z,2026-06-17T13:31:30Z,Vanna Messum,,uk,6577575613,$2a$04$1.vA.Ybe10e9vSZ5sJrzb.GVvtMcSqJSHOGP/XbjCSw00Rie38iaC,LOCAL,,
54,seed.user54@example.com,USER,false,2026-05-10T15:38:35Z,2026-05-10T15:38:35Z,Hope Reidie,,uk,4892007046,$2a$04$m28IjqOtAzGI10RcmvCRVON9.ktjY5zPxGZVnGKZpWGmoF7FCain6,LOCAL,,
55,seed.user55@example.com,USER,true,2026-06-11T16:40:56Z,2026-06-11T16:40:56Z,Yoko Monnelly,,uk,1479169258,$2a$04$EKzjaSyDuB0h7CahdAyKyO6IRhkTWVyDzyMYsNVKP6UfE6AjCs4aG,LOCAL,,
56,seed.user56@example.com,USER,true,2026-05-17T11:04:32Z,2026-05-17T11:04:32Z,Jaymie Chandlar,,uk,2758062289,$2a$04$kQ03UsOeizXx.r2LF4MuI.RICc8yRv1GqNcL8hrYm79MfszB8XN4a,LOCAL,,
57,seed.user57@example.com,USER,true,2026-05-23T11:47:18Z,2026-05-23T11:47:18Z,Minna Colliver,,uk,2457812102,$2a$04$aOCQ3QLGJD1JTFBuc1AfuOjeHPUgTcLkEw4YHAMtTvgQP8Ld2wlrG,LOCAL,,
